Name	Glottocode	Area	Longitude	Latitude	classification	Countries	Family_ID
Abadi	abad1241	NG area	146.992	-9.03389	aust1307/mala1545/east2712/ocea1241/west2818/papu1253/peri1258/cent2070/west2850	PG	aust1307
Abaga	abag1245	NG area	145.665	-6.12028	nucl1709/kain1273/goro1272/nucl1760/nucl1756/kama1374/unun9976	PG	nucl1709
Abau	abau1245	NG area	141.324	-3.97222	sepi1257	PG	sepi1257
Abinomn	abin1243	NG area	138.891	-2.92281	NA	ID	NA
Abom	abom1238	NG area	142.842	-8.42448	anim1240/tiri1259	PG	anim1240
Abu' Arapesh	abua1245	NG area	142.917031	-3.461612	nucl1708/komb1276/arap1279/mufi1239/buki1250	PG	nucl1708
Abui	abui1241	NG area	124.588	-8.31058	timo1261/alor1249/nucl1821/alor1250/abui1242	ID	timo1261
Abun	abun1252	NG area	132.416	-0.57073	NA	ID	NA
Abu	abuu1241	NG area	144.474	-4.24027	lowe1437/ramu1234/agoa1234	PG	lowe1437
Adabe	adab1235	NG area	125.576	-8.22674	book1242	ID;TL	book1242
Adang	adan1251	NG area	124.448	-8.18958	timo1261/alor1249/nucl1821/west2994/adan1252	ID	timo1261
Adonara	adon1237	NG area	123.159	-8.32027	aust1307/mala1545/bima1248/flor1239/lama1293/nort3216	ID	aust1307
Adzera	adze1240	NG area	146.294	-6.39394	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/huon1245/mark1257/uppe1423	PG	aust1307
Aeka	aeka1244	NG area	147.99477	-8.855095	nucl1709/bina1276/bina1279/nucl1603/sout2934/orok1268	PG	nucl1709
Aekyom	aeky1238	NG area	141.532	-5.88478	kamu1264/awin1249	PG	kamu1264
Agarabi	agar1252	NG area	145.917	-6.20604	nucl1709/kain1273/kain1274/gauw1235/gads1260	PG	nucl1709
Aghu	aghu1255	NG area	140.043	-6.34674	nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264/mapp1234	ID	nucl1709
Agi	agii1245	NG area	142.387	-3.49104	nucl1708/wape1249/west2788/agiy1234	PG	nucl1708
Agob-Ende-Kawam	agob1244	NG area	142.532	-9.08521	paho1240	PG	paho1240
